track_id,artists,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
3O8G8eVrhfXTGttyQ1xVuq,Stray Kids,CASE 143,0.812,0.89,-2.661,0.209,0.0961,0.0,0.0222,0.69,100.006,1
63irPUP3xB74fHdw1Aw9zR,Stray Kids,MANIAC,0.581,0.8,-2.613,0.411,0.154,0.0,0.0697,0.709,119.872,2
05ib88vsMeLfwlAfrZyz99,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",0.626,0.623,-5.718,0.0653,0.0559,0.0,0.199,0.123,140.209,2
0nwTMzpatarzvLvtwwzdCt,Stray Kids,Thunderous,0.601,0.786,-3.706,0.234,0.213,0.0,0.209,0.79,172.156,2
4XPXrcpyNr30Km6aPiflJy,Stray Kids,God’s Menu,0.689,0.771,-3.618,0.0548,0.00776,0.0,0.521,0.482,157.052,0
6T4o4xEh61CpgM9v4jG5DJ,Stray Kids,"3RACHA (Bang Chan, Changbin, HAN)",0.721,0.856,-3.117,0.301,0.229,0.0,0.0853,0.627,142.068,2
0LatE4S9UtCDwIdGQsFFKL,Stray Kids,"Red Lights (Bang Chan, Hyunjin)",0.707,0.74,-4.311,0.0509,0.179,0.0,0.612,0.336,127.974,2
1HshHZrFIF5MRXWCZntOPr,Stray Kids,CHILL,0.744,0.923,-2.797,0.0507,0.115,0.0,0.065,0.522,96.005,1
4QDpsNBlllaLGj8zbF2EE0,Stray Kids,Charmer,0.786,0.762,-2.508,0.0519,0.0524,1.04e-05,0.0971,0.731,90.963,1
0tYZo2UhV1lrUez5CA0Iyw,ATEEZ,Guerrilla,0.555,0.89,-5.349,0.132,0.00399,0.0,0.0506,0.581,181.963,0
35sE2Ehvd1GzBzAIC0zFIu,Stray Kids,HEYDAY (Prod. Czaer),0.892,0.808,-3.343,0.156,0.0335,0.0,0.0363,0.701,137.97,1
7CQhZA3qNDZBoTKWqjD7gR,Stray Kids,Give Me Your TMI,0.749,0.862,-3.494,0.136,0.0513,0.0,0.0944,0.824,97.982,1
0XuepwFJUcKN8T5zTqoP0F,Stray Kids,Back Door,0.82,0.842,-3.853,0.272,0.157,0.0,0.112,0.653,107.952,1
2uw2ftfyS4yJLWiTtbxasE,Stray Kids,CIRCUS,0.767,0.809,-3.734,0.0958,0.0337,0.0,0.0353,0.69,97.958,1
33vfE5bxDMHpOFHMSgxehR,Stray Kids,"Can't Stop (Seungmin, I.N)",0.645,0.87,-3.087,0.0465,0.00522,1.12e-06,0.101,0.79,119.973,1
078fJxqEUz0LvbHSM6AoXJ,Stray Kids,SUPER BOARD,0.751,0.87,-2.551,0.0713,0.00653,0.0,0.077,0.412,103.019,1
4b3rGL8LDSkbARUUA20136,Stray Kids,VENOM,0.812,0.807,-3.354,0.339,0.11,0.0,0.211,0.4,136.979,2
0OCDOcvQvozjsivREMojzx,Stray Kids,Mixtape : Time Out,0.555,0.945,-1.934,0.127,0.0453,0.0,0.244,0.389,160.006,0
6Ib6RkvLBMD85bov85apSL,Stray Kids,DOMINO,0.687,0.866,-2.01,0.0466,0.0301,0.0,0.0755,0.696,160.066,0
3JeLa5o0NxQjQHhVYaTLV0,Stray Kids,CIRCUS (Korean Ver.),0.788,0.795,-3.676,0.0948,0.031,0.0,0.0302,0.703,98.004,1
3zmrdOtnOogqLllz26WLZ3,ATEEZ,Deja Vu,0.692,0.835,-4.978,0.0628,0.0517,0.0,0.134,0.566,80.017,1
6k67RdkVjTZj79c1cRz7IQ,ATEEZ,WONDERLAND,0.572,0.964,-1.949,0.123,0.0503,0.0,0.372,0.519,129.979,0
5npCUsfrlhdyjxyCa32maW,Stray Kids,Christmas EveL,0.878,0.777,-3.702,0.163,0.0437,0.0,0.401,0.878,139.989,1
2xo84jGkxFPrZmmBtS3Pkd,Stray Kids,Lonely St.,0.686,0.825,-3.192,0.0582,0.248,0.0,0.0761,0.603,90.053,2
2sFWzfV3kqAwXEWM9BjzwH,Stray Kids,MIROH,0.564,0.979,-3.102,0.104,0.0091,0.0,0.249,0.505,126.059,0
28xjm4FnnGI4Xnds7VoNSl,ATEEZ,Wave,0.624,0.86,-3.346,0.0387,0.0886,1.1e-05,0.123,0.447,99.968,2
3Ea1CNsTqBY4RtAESrBeNI,Alesso;CORSAK;Stray Kids,Going Dumb (with Stray Kids),0.834,0.651,-4.855,0.0595,0.153,0.0,0.146,0.49,121.978,2
6PqDYUTmTGXnCfSDhm6AlJ,SKY-HI;3RACHA of Stray Kids,JUST BREATHE - feat. 3RACHA of Stray Kids,0.521,0.824,-4.498,0.287,0.197,0.0,0.124,0.502,112.614,2
